dt,comptime,Phe_Bid,Phe_Ask,Phe_chng,Phe_bid_chng,Phe_ask_chng,phe_sig,Phe_diff,coin_price
01/10/2023 23:41:18,1673390478,33806.90856999999,60947.808879999975,,0.037,-0.218,SHORT,44.531,17420.6
01/10/2023 23:41:48,1673390508,33321.47411999999,55203.93744999999,,-0.015,-0.104,SHORT,39.639,17422.9
01/10/2023 23:42:18,1673390538,63979.64081000001,54133.50687999999,,0.479,-0.02,LONG,15.389,17423.0
01/10/2023 23:42:48,1673390568,52607.75866,52857.34217999999,,-0.216,-0.024,SHORT,0.472,17422.9
01/10/2023 23:43:17,1673390597,51964.71285,55449.00893999999,,-0.012,0.047,SHORT,6.284,17423.0
01/10/2023 23:43:48,1673390628,51843.377510000006,71760.62219,,-0.002,0.227,SHORT,27.755,17423.0
01/10/2023 23:44:19,1673390659,49103.07476000001,72348.00244999999,,-0.056,0.008,SHORT,32.129,17422.9
01/10/2023 23:44:48,1673390688,51578.78089,70265.52459999998,,0.048,-0.03,SHORT,26.594,17422.9
01/10/2023 23:45:19,1673390719,55510.09001000001,52903.48135999998,,0.071,-0.328,LONG,4.696,17425.3
01/10/2023 23:45:51,1673390751,59351.11774,69420.61709999997,,0.065,0.238,SHORT,14.505,17425.4
01/10/2023 23:46:21,1673390781,51964.1022,70268.28627,,-0.142,0.012,SHORT,26.049,17428.0
01/10/2023 23:46:50,1673390810,54541.98477999998,69937.70812999998,,0.047,-0.005,SHORT,22.013,17429.0
01/10/2023 23:47:20,1673390840,51510.24658,50913.44379,,-0.059,-0.374,LONG,1.159,17430.7
01/10/2023 23:47:50,1673390870,49942.8849,71025.00306999999,,-0.031,0.283,SHORT,29.683,17431.6
01/10/2023 23:48:20,1673390900,36678.32431,71394.50063,,-0.362,0.005,SHORT,48.626,17431.5
01/10/2023 23:48:50,1673390930,42277.625620000006,54531.16645,,0.132,-0.309,SHORT,22.471,17432.0
01/10/2023 23:49:21,1673390961,32907.33139000001,59270.92231000001,,-0.285,0.08,SHORT,44.48,17435.8
01/10/2023 23:49:51,1673390991,40588.38919,51312.369730000006,,0.189,-0.155,SHORT,20.899,17436.5
01/10/2023 23:50:20,1673391020,62258.627840000016,60864.942190000016,,0.348,0.157,LONG,2.239,17436.5
01/10/2023 23:50:50,1673391050,63792.02232,41158.66308000004,,0.024,-0.479,LONG,35.48,17436.4
01/10/2023 23:51:20,1673391080,33950.05199,63480.02114000003,,-0.879,0.352,SHORT,46.519,17436.5
01/10/2023 23:51:50,1673391110,54972.27854,63782.20689000003,,0.382,0.005,SHORT,13.813,17435.7
01/10/2023 23:52:21,1673391141,55678.09974000001,64809.37201000004,,0.013,0.016,SHORT,14.089,17435.6
01/10/2023 23:52:53,1673391173,54643.94543999999,52645.52060000002,,-0.019,-0.231,LONG,3.657,17433.7
01/10/2023 23:53:23,1673391203,58198.983020000014,49838.28586000002,,0.061,-0.056,LONG,14.366,17432.1
